2026-06-18 06:16:39 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 109: 2 detections [moderate=2] @ (39.90421, 116.40741) inf=30.0ms
2026-06-18 06:16:39 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 115: 6 detections [moderate=3, severe=1, mild=2] @ (39.90421, 116.40741) inf=41.1ms
2026-06-18 06:16:40 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 117: 2 detections [mild=2] @ (39.90421, 116.40741) inf=31.9ms
2026-06-18 06:16:40 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 119: 3 detections [mild=2, moderate=1] @ (39.90421, 116.40741) inf=31.3ms
2026-06-18 06:16:40 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 121: 6 detections [moderate=3, mild=2, severe=1] @ (39.90421, 116.40741) inf=29.2ms
2026-06-18 06:16:41 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 127: 2 detections [moderate=1, mild=1] @ (39.90421, 116.40741) inf=32.4ms
2026-06-18 06:16:41 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 129: 1 detections [mild=1] @ (39.90421, 116.40741) inf=30.5ms
2026-06-18 06:16:41 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 131: 2 detections [moderate=1, mild=1] @ (39.90421, 116.40741) inf=35.3ms
2026-06-18 06:16:41 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 133: 5 detections [mild=1, severe=2, moderate=2] @ (39.90421, 116.40741) inf=31.5ms
2026-06-18 06:16:41 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 135: 2 detections [moderate=1, severe=1] @ (39.90421, 116.40741) inf=31.7ms
2026-06-18 06:16:42 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 137: 3 detections [moderate=2, severe=1] @ (39.90421, 116.40741) inf=31.4ms
2026-06-18 06:16:42 | INFO    | cloud_server       | [DRONE-TEST-001] Frame 141: 1 detections [mild=1] @ (39.90421, 116.40741) inf=31.0ms
